sous_ligne;id_ligne_num;route_short_name;route_long_name;id_ag_num_debut;id_ag_num_terminus;ag_origin_name;ag_destination_name;Type_Jour_Vacances_A;Debut;Fin;Nb_courses;Duree;Headway_FM;Headway_HPM;Headway_HC;Headway_HPS;Headway_FS
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Dimanche_Scolaire;0.5347222222222222;0.8472222222222222;2;0.3125;;;488.0;;0.9999999999999964
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Dimanche_Vacances;0.5347222222222222;0.8472222222222222;2;0.3125;;;488.0;;0.9999999999999964
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Ferie;0.5347222222222222;0.8472222222222222;2;0.3125;;;488.0;;0.9999999999999964
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Jeudi_Scolaire;0.2743055555555556;0.8020833333333333;5;0.5277777777777777;122.0;121.99999999999997;488.0;60.99999999999994;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Lundi_Scolaire;0.2743055555555556;0.8020833333333333;5;0.5277777777777777;122.0;121.99999999999997;488.0;60.99999999999994;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Mardi_Scolaire;0.2743055555555556;0.8020833333333333;5;0.5277777777777777;122.0;121.99999999999997;488.0;60.99999999999994;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Mercredi_Scolaire;0.2743055555555556;0.8020833333333333;5;0.5277777777777777;122.0;121.99999999999997;488.0;60.99999999999994;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Samedi_Scolaire;0.5347222222222222;0.8020833333333333;2;0.26736111111111105;;;488.0;121.99999999999989;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Samedi_Vacances;0.5347222222222222;0.8020833333333333;2;0.26736111111111105;;;488.0;121.99999999999989;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Semaine_Vacances;0.2743055555555556;0.8020833333333333;5;0.5277777777777777;122.0;121.99999999999997;488.0;60.99999999999994;
1_1_10067_10088_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10067;10088;GARE ROUTIERE;LONS GARE SNCF;Vendredi_Scolaire;0.2743055555555556;0.8472222222222222;6;0.5729166666666666;122.0;121.99999999999997;488.0;60.99999999999994;0.9999999999999964
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Dimanche_Scolaire;0.53125;0.7395833333333334;2;0.20833333333333337;;;244.0;;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Dimanche_Vacances;0.53125;0.7395833333333334;2;0.20833333333333337;;;244.0;;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Ferie;0.3194444444444445;0.8125;4;0.4930555555555555;;121.99999999999997;244.0;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Jeudi_Scolaire;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Lundi_Scolaire;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Mardi_Scolaire;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Mercredi_Scolaire;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Samedi_Scolaire;0.3194444444444445;0.8125;3;0.4930555555555555;;121.99999999999997;488.0;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Samedi_Vacances;0.3194444444444445;0.8125;3;0.4930555555555555;;121.99999999999997;488.0;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Semaine_Vacances;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
1_0_10088_10067_6_48426.0;1;301;LONS - DOLE TGV - EXPRESS;10088;10067;LONS GARE SNCF;GARE ROUTIERE;Vendredi_Scolaire;0.21180555555555555;0.8125;7;0.6006944444444444;61.0;121.99999999999997;162.66666666666666;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Jeudi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Lundi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Mardi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Mercredi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Semaine_Vacances;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10001_10088_35_63111.0;2;303;BOURG - LONS;10001;10088;GARE S.N.C.F;LONS GARE SNCF;Vendredi_Scolaire;0.7291666666666667;0.7951388888888888;1;0.0659722222222221;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Jeudi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Lundi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Mardi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Mercredi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Samedi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Samedi_Vacances;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Semaine_Vacances;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10239_10088_17_61968.0;2;303;BOURG - LONS;10239;10088;LABALME;LONS GARE SNCF;Vendredi_Scolaire;0.7569444444444444;0.8194444444444444;1;0.0625;;;;121.99999999999989;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Jeudi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Lundi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mardi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mercredi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_23_62831.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Vendredi_Scolaire;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Ferie;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Jeudi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Lundi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mardi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Mercredi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Samedi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Samedi_Vacances;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Semaine_Vacances;0.2465277777777778;0.3125;1;0.06597222222222221;122.0;;;;
2_0_10001_10086_36_63553.0;2;303;BOURG - LONS;10001;10086;GARE S.N.C.F;LONS AVENUE THUREL;Vendredi_Scolaire;0.2951388888888889;0.3611111111111111;1;0.06597222222222221;122.0;;;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Jeudi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Lundi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Mardi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Mercredi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Samedi_Scolaire;0.5069444444444444;0.7534722222222222;2;0.2465277777777778;;;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Samedi_Vacances;0.5069444444444444;0.7534722222222222;2;0.2465277777777778;;;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Semaine_Vacances;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_0_10239_10086_37_64363.0;2;303;BOURG - LONS;10239;10086;LABALME;LONS AVENUE THUREL;Vendredi_Scolaire;0.3229166666666667;0.7534722222222222;3;0.4305555555555555;;121.99999999999997;244.0;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Jeudi_Scolaire;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Lundi_Scolaire;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mardi_Scolaire;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mercredi_Scolaire;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Semaine_Vacances;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_20_62523.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Vendredi_Scolaire;0.25;0.31736111111111115;1;0.06736111111111115;122.0;;;;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Ferie;0.31597222222222227;0.7506944444444444;2;0.4347222222222222;;121.99999999999997;488.0;;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Jeudi_Scolaire;0.5104166666666666;0.8270833333333333;4;0.31666666666666665;;;244.0;60.99999999999994;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Lundi_Scolaire;0.5104166666666666;0.8270833333333333;4;0.31666666666666665;;;244.0;60.99999999999994;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mardi_Scolaire;0.5104166666666666;0.8270833333333333;4;0.31666666666666665;;;244.0;60.99999999999994;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mercredi_Scolaire;0.5104166666666666;0.8270833333333333;4;0.31666666666666665;;;244.0;60.99999999999994;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Samedi_Scolaire;0.31597222222222227;0.8270833333333333;4;0.5111111111111111;;121.99999999999997;244.0;121.99999999999989;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Samedi_Vacances;0.31597222222222227;0.8270833333333333;4;0.5111111111111111;;121.99999999999997;244.0;121.99999999999989;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Semaine_Vacances;0.31597222222222227;0.8270833333333333;5;0.5111111111111111;;121.99999999999997;244.0;60.99999999999994;
2_1_10086_10239_36_64369.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Vendredi_Scolaire;0.5104166666666666;0.8270833333333333;4;0.31666666666666665;;;244.0;60.99999999999994;
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Jeudi_Scolaire;0.31597222222222227;0.38680555555555557;1;0.0708333333333333;;121.99999999999997;;;
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Lundi_Scolaire;0.31597222222222227;0.38680555555555557;1;0.0708333333333333;;121.99999999999997;;;
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mardi_Scolaire;0.31597222222222227;0.38680555555555557;1;0.0708333333333333;;121.99999999999997;;;
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Mercredi_Scolaire;0.31597222222222227;0.38680555555555557;1;0.0708333333333333;;121.99999999999997;;;
2_1_10086_10239_37_64412.0;2;303;BOURG - LONS;10086;10239;LONS AVENUE THUREL;LABALME;Vendredi_Scolaire;0.31597222222222227;0.38680555555555557;1;0.0708333333333333;;121.99999999999997;;;
3_1_10022_10116_15_19540.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Ferie;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_15_19540.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Semaine_Vacances;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Jeudi_Scolaire;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Lundi_Scolaire;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Mardi_Scolaire;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Mercredi_Scolaire;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10022_10116_17_20971.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10022;10116;FRONTIERE;MOREZ GARE S.N.C.F.;Vendredi_Scolaire;0.3125;0.35416666666666663;1;0.04166666666666663;;121.99999999999997;;;
3_1_10236_10116_18_24775.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10116;2982 RUE DU VIVIER;MOREZ GARE S.N.C.F.;Samedi_Scolaire;0.3923611111111111;0.42708333333333337;1;0.034722222222222265;;;488.0;;
3_1_10236_10116_18_24775.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10116;2982 RUE DU VIVIER;MOREZ GARE S.N.C.F.;Samedi_Vacances;0.3923611111111111;0.42708333333333337;1;0.034722222222222265;;;488.0;;
3_0_10116_10022_14_16708.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;Jeudi_Scolaire;0.6944444444444444;0.7291666666666667;1;0.03472222222222232;;;488.0;;
3_0_10116_10022_14_16708.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;Lundi_Scolaire;0.6944444444444444;0.7291666666666667;1;0.03472222222222232;;;488.0;;
3_0_10116_10022_14_16708.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;Mardi_Scolaire;0.6944444444444444;0.7291666666666667;1;0.03472222222222232;;;488.0;;
3_0_10116_10022_14_16708.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;Vendredi_Scolaire;0.6944444444444444;0.7291666666666667;1;0.03472222222222232;;;488.0;;
3_0_10116_10022_15_19949.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10022;MOREZ GARE S.N.C.F.;FRONTIERE;Semaine_Vacances;0.7152777777777778;0.75;1;0.03472222222222221;;;488.0;;
3_0_10116_10236_15_25496.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Mercredi_Scolaire;0.5034722222222222;0.5555555555555555;1;0.05208333333333326;;;488.0;;
3_0_10116_10236_16_24946.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Jeudi_Scolaire;0.7152777777777778;0.75;1;0.03472222222222221;;;488.0;;
3_0_10116_10236_16_24946.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Lundi_Scolaire;0.7152777777777778;0.75;1;0.03472222222222221;;;488.0;;
3_0_10116_10236_16_24946.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Mardi_Scolaire;0.7152777777777778;0.75;1;0.03472222222222221;;;488.0;;
3_0_10116_10236_16_24946.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Vendredi_Scolaire;0.732638888888889;0.7673611111111112;1;0.03472222222222221;;;;121.99999999999989;
3_0_10116_10236_17_25919.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Jeudi_Scolaire;0.7638888888888888;0.8055555555555555;1;0.04166666666666663;;;;121.99999999999989;
3_0_10116_10236_17_25919.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Lundi_Scolaire;0.7638888888888888;0.8055555555555555;1;0.04166666666666663;;;;121.99999999999989;
3_0_10116_10236_17_25919.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Mardi_Scolaire;0.7638888888888888;0.8055555555555555;1;0.04166666666666663;;;;121.99999999999989;
3_0_10116_10236_17_25919.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Vendredi_Scolaire;0.7638888888888888;0.8055555555555555;1;0.04166666666666663;;;;121.99999999999989;
3_0_10116_10236_17_28371.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Mercredi_Scolaire;0.7638888888888888;0.8055555555555555;1;0.04166666666666663;;;;121.99999999999989;
3_0_10116_10236_18_27677.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Ferie;0.5104166666666666;0.5506944444444444;1;0.040277777777777746;;;488.0;;
3_0_10116_10236_18_27677.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Mercredi_Scolaire;0.7270833333333334;0.7694444444444445;1;0.04236111111111107;;;;121.99999999999989;
3_0_10116_10236_18_27677.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Samedi_Scolaire;0.5104166666666666;0.5506944444444444;1;0.040277777777777746;;;488.0;;
3_0_10116_10236_18_27677.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10116;10236;MOREZ GARE S.N.C.F.;2982 RUE DU VIVIER;Samedi_Vacances;0.5104166666666666;0.5506944444444444;1;0.040277777777777746;;;488.0;;
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;Jeudi_Scolaire;0.2777777777777778;0.3125;1;0.03472222222222221;122.0;;;;
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;Lundi_Scolaire;0.2777777777777778;0.3125;1;0.03472222222222221;122.0;;;;
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;Mardi_Scolaire;0.2777777777777778;0.3125;1;0.03472222222222221;122.0;;;;
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;Mercredi_Scolaire;0.2777777777777778;0.3125;1;0.03472222222222221;122.0;;;;
3_1_10236_10117_17_24071.0;3;306;HAUTS DE BIENNE - BOIS AMONT;10236;10117;2982 RUE DU VIVIER;MOREZ VILLE;Vendredi_Scolaire;0.2777777777777778;0.3125;1;0.03472222222222221;122.0;;;;
