id_ag_num;stop_name;stop_lat;stop_lon;1;2;3;4;5;6;7
10001;LE PONT-DE-CLAIX, 120 TOISES;45.13624954223633;5.694960117340088;4.0;4.0;4.0;4.0;4.0;0.0;0.0
10002;BIVIERS, LES CLAVERINS;45.233341217041016;5.808499813079834;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10003;SAINT-NAZAIRE-LES-EYMES, LES EYMES;45.256351470947266;5.847179889678955;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10004;BIVIERS, BIVIERS MAIRIE;45.23789978027344;5.803969860076904;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10005;BIVIERS, BIVIERS TENNIS;45.234161376953125;5.799670219421387;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10006;BIVIERS, CROIX SAINT-PHILIBERT;45.23225021362305;5.798709869384766;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10007;BIVIERS, LES ARRIOTS;45.2303581237793;5.794400215148926;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10008;BIVIERS, CHEMIN DES TIERES;45.235050201416016;5.805019855499268;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10009;SAINT-MARTIN-LE-VINOUX, RESISTANCE;45.20341110229492;5.714330196380615;23.0;23.0;21.0;23.0;23.0;17.0;0.0
10010;GRENOBLE, ABBE GREGOIRE;45.18387985229492;5.711740016937256;108.0;108.0;108.0;108.0;108.0;80.0;49.0
10011;ECHIROLLES, AUGUSTE DELAUNE;45.142921447753906;5.715270042419434;558.0;558.0;558.0;558.0;558.0;364.0;211.0
10012;MONTBONNOT-SAINT-MARTIN, AVENUE DU GENERAL DE GAULLE;45.224849700927734;5.797810077667236;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10013;MEYLAN, AIGUINARDS-HEXAGONE;45.20555877685547;5.764490127563477;214.0;214.0;214.0;214.0;214.0;165.0;107.0
10014;GRENOBLE, ALBERT 1ER DE BELGIQUE;45.18191909790039;5.73222017288208;432.0;432.0;432.0;432.0;432.0;284.0;154.0
10015;VAULNAVEYS-LE-HAUT, LES ALBERGES;45.1314811706543;5.819029808044434;76.0;76.0;76.0;76.0;76.0;32.0;26.0
10016;VIF, ALLEE DES GRANGES;45.05794906616211;5.684720039367676;15.0;15.0;16.0;15.0;15.0;12.0;0.0
10018;VIZILLE, L'ALLIANCE;45.08184051513672;5.769000053405762;39.0;39.0;39.0;39.0;39.0;23.0;0.0
10019;GRENOBLE, ALLIES;45.173980712890625;5.714270114898682;576.0;593.0;593.0;593.0;576.0;429.0;243.0
10020;SAINT-MARTIN-D'HERES, LES ALLOVES;45.17203903198242;5.7651801109313965;68.0;68.0;68.0;68.0;68.0;45.0;27.0
10022;GRENOBLE, ALSACE-LORRAINE;45.189109802246094;5.719299793243408;1225.0;1234.0;1234.0;1234.0;1225.0;843.0;506.0
10024;FONTAINE, ANCIENNE MAIRIE;45.192718505859375;5.678060054779053;135.0;135.0;135.0;135.0;135.0;62.0;36.0
10025;SEYSSINS, ANCIENNE GARE;45.1597785949707;5.681779861450195;107.0;107.0;107.0;107.0;107.0;66.0;45.0
10026;MEYLAN, ANCIENNE MAIRIE;45.21792984008789;5.779329776763916;17.0;17.0;17.0;17.0;17.0;0.0;0.0
10027;BRIE-ET-ANGONNES, LES ANGONNES;45.139930725097656;5.776169776916504;26.0;26.0;26.0;26.0;26.0;15.0;0.0
10029;JARRIE, ANDRE MALRAUX;45.09461975097656;5.744170188903809;31.0;31.0;31.0;31.0;31.0;10.0;0.0
10031;SEYSSINET-PARISET, ARISTIDE BERGES;45.185508728027344;5.694650173187256;269.0;269.0;269.0;269.0;269.0;220.0;139.0
10033;GRENOBLE, ANDRE ARGOUGES;45.17536926269531;5.744470119476318;349.0;349.0;346.0;349.0;351.0;270.0;159.0
10034;GRENOBLE, ARLEQUIN;45.16358947753906;5.730470180511475;432.0;432.0;432.0;432.0;432.0;284.0;154.0
10036;SAINT-MARTIN-LE-VINOUX, ANCIENNE ROUTE;45.20975875854492;5.717360019683838;12.0;12.0;11.0;12.0;12.0;9.0;0.0
10037;LE GUA, L'ARZELIER;44.99692153930664;5.6025800704956055;11.0;11.0;11.0;11.0;11.0;5.0;0.0
10038;ECHIROLLES, AUGUSTE FERRIER;45.14482879638672;5.709619998931885;139.0;139.0;139.0;139.0;139.0;90.0;54.0
10040;BRESSON, AVENUE DE LA REPUBLIQUE;45.142791748046875;5.735889911651611;15.0;15.0;15.0;15.0;15.0;12.0;0.0
10043;CLAIX, LA BALMETTE;45.12520980834961;5.688109874725342;12.0;12.0;12.0;12.0;12.0;12.0;0.0
10044;VARCES-ALLIERES-ET-RISSET, BALZAC;45.0872802734375;5.694210052490234;15.0;15.0;16.0;15.0;15.0;12.0;0.0
10045;SAINT-MARTIN-LE-VINOUX, LA BANCHARDIERE;45.21725845336914;5.712790012359619;13.0;13.0;12.0;13.0;13.0;8.0;0.0
10046;SAINT-EGREVE, COLLEGE BARNAVE;45.23125076293945;5.688220024108887;12.0;12.0;12.0;12.0;12.0;7.0;0.0
10047;QUAIX-EN-CHARTREUSE, LE BARBET;45.25801086425781;5.7081499099731445;14.0;14.0;14.0;14.0;14.0;8.0;0.0
10048;SAINT-EGREVE, COLLEGE BARNAVE;45.2309684753418;5.6917500495910645;13.0;13.0;14.0;13.0;13.0;9.0;0.0
10049;SAINT-PAUL-DE-VARCES, LA BASCULE;45.07181167602539;5.6549601554870605;25.0;25.0;25.0;25.0;25.0;14.0;0.0
10050;QUAIX-EN-CHARTREUSE, BAS DE MONT-QUAIX;45.25288009643555;5.7417402267456055;4.0;4.0;6.0;4.0;4.0;9.0;0.0
10051;QUAIX-EN-CHARTREUSE, BAS DE PETESSET;45.256351470947266;5.71058988571167;14.0;14.0;14.0;14.0;14.0;8.0;0.0
10052;QUAIX-EN-CHARTREUSE, LE BAS DE QUAIX;45.253990173339844;5.701419830322266;14.0;14.0;14.0;14.0;14.0;8.0;0.0
10053;LA TRONCHE, BASTILLE;45.20444107055664;5.737599849700928;57.0;57.0;57.0;57.0;57.0;40.0;23.0
10054;CLAIX, LES BAUCHES;45.1108283996582;5.67864990234375;29.0;29.0;29.0;29.0;29.0;16.0;0.0
10055;MIRIBEL-LANCHATRE, BAYANNE;44.97996139526367;5.622350215911865;8.0;8.0;8.0;8.0;8.0;6.0;0.0
10056;ECHIROLLES, BAYARD;45.14590835571289;5.704780101776123;500.0;500.0;500.0;500.0;493.0;380.0;216.0
10057;PROVEYSIEUX, LE BAZEAU;45.265899658203125;5.699850082397461;11.0;11.0;12.0;11.0;11.0;8.0;0.0
10058;MEYLAN, LES BEALIERES;45.21152877807617;5.7906999588012695;105.0;105.0;105.0;105.0;105.0;82.0;53.0
10059;CLAIX, BEAU DUNOIS;45.12535095214844;5.672339916229248;12.0;12.0;12.0;12.0;12.0;12.0;0.0
10060;BRIE-ET-ANGONNES, BEAULIEU;45.1385498046875;5.773550033569336;26.0;26.0;26.0;26.0;26.0;15.0;0.0
10061;SASSENAGE, BEAUREVOIR;45.21009063720703;5.6486101150512695;21.0;21.0;21.0;21.0;21.0;17.0;0.0
10062;SEYSSINET-PARISET, BEAU SITE;45.17591094970703;5.696959972381592;88.0;88.0;88.0;88.0;88.0;81.0;51.0
10064;SEYSSINS, BEAUVOIR;45.15898895263672;5.6832499504089355;13.0;13.0;13.0;13.0;13.0;7.0;7.0
10066;GRENOBLE, VICTOR HUGO - BELGRADE;45.19123077392578;5.725200176239014;211.0;211.0;211.0;211.0;211.0;161.0;99.0
10067;SAINT-EGREVE, BELLEDONNE;45.222679138183594;5.684000015258789;90.0;90.0;90.0;90.0;90.0;59.0;27.0
10068;SAINT-EGREVE, BELLEVUE;45.24406051635742;5.692440032958984;11.0;11.0;12.0;11.0;11.0;8.0;0.0
10069;CLAIX, BELLEVUE;45.111961364746094;5.665480136871338;25.0;25.0;25.0;25.0;25.0;16.0;0.0
10070;SEYSSINET-PARISET, BELVEDERE;45.17649841308594;5.6882100105285645;94.0;94.0;94.0;94.0;94.0;59.0;38.0
10071;GRENOBLE, BERRIAT - LE MAGASIN;45.18849182128906;5.7058000564575195;432.0;432.0;432.0;432.0;432.0;284.0;154.0
10072;SEYSSINET-PARISET, BERGES - VERCORS;45.18416976928711;5.690710067749023;135.0;135.0;135.0;135.0;135.0;62.0;36.0
10074;VARCES-ALLIERES-ET-RISSET, BERLIOGNIERE;45.08998107910156;5.692490100860596;15.0;15.0;16.0;15.0;15.0;12.0;0.0
10075;BERNIN, BERNIN VILLAGE;45.270511627197266;5.8674798011779785;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10077;GIERES, UNIVERSITE - BIBLIOTHEQUES;45.19245910644531;5.770899772644043;998.0;906.0;906.0;998.0;906.0;611.0;354.0
10078;SAINT-EGREVE, LA BIOLLE - GARE;45.23522186279297;5.669529914855957;90.0;90.0;90.0;90.0;90.0;59.0;27.0
10079;GIERES, UNIVERSITE - BIOLOGIE;45.191951751708984;5.774740219116211;578.0;578.0;578.0;578.0;578.0;402.0;228.0
10081;SASSENAGE, BLANC FONTAINE;45.21063995361328;5.65625;21.0;21.0;21.0;21.0;21.0;17.0;0.0
10082;SAINT-MARTIN-D'HERES, PARC JO BLANCHON;45.17584991455078;5.756840229034424;152.0;152.0;152.0;152.0;152.0;146.0;118.0
10083;SAINT-MARTIN-LE-VINOUX, BAS LEVETIERE;45.2247200012207;5.724909782409668;12.0;12.0;11.0;12.0;12.0;9.0;0.0
10084;MONTBONNOT-SAINT-MARTIN, BAUDONNIERE;45.21446990966797;5.807769775390625;214.0;214.0;214.0;214.0;214.0;165.0;107.0
10087;GRENOBLE, BON PASTEUR;45.178749084472656;5.750899791717529;105.0;105.0;105.0;105.0;105.0;90.0;51.0
10088;SEYSSINET-PARISET, BOUCHAYER - HOTEL DE VILLE;45.18077087402344;5.694369792938232;94.0;94.0;94.0;94.0;94.0;59.0;38.0
10089;CLAIX, BOULODROME-ECOLE;45.11962127685547;5.668990135192871;25.0;25.0;25.0;25.0;25.0;16.0;0.0
10092;BRESSON, BRESSON MAIRIE;45.137699127197266;5.747710227966309;9.0;9.0;9.0;9.0;9.0;6.0;0.0
10093;BRIE-ET-ANGONNES, MONT ROLLAND;45.11528015136719;5.784049987792969;22.0;22.0;22.0;22.0;22.0;13.0;0.0
10094;BRIE-ET-ANGONNES, L'OLYMPE;45.11783981323242;5.7828497886657715;22.0;22.0;22.0;22.0;22.0;13.0;0.0
10095;BRIE-ET-ANGONNES, BRIE-ET-ANGONNES EGLISE;45.11119079589844;5.786530017852783;22.0;22.0;22.0;22.0;22.0;13.0;0.0
10096;MURIANETTE, LA BRIOT;45.192989349365234;5.819479942321777;140.0;140.0;140.0;140.0;140.0;114.0;54.0
10098;GRENOBLE, LA BRUYERE-PARC JEAN VERLHAC;45.166351318359375;5.731180191040039;432.0;432.0;432.0;432.0;432.0;284.0;154.0
10101;SAINT-MARTIN-LE-VINOUX, LA BUISSERATIERE;45.223079681396484;5.717780113220215;13.0;13.0;12.0;13.0;13.0;8.0;0.0
10102;MEYLAN, BUSSEROLLES;45.20899963378906;5.798349857330322;214.0;214.0;214.0;214.0;214.0;165.0;107.0
10103;GRENOBLE, COLONEL DUMONT;45.18149948120117;5.721950054168701;90.0;90.0;90.0;90.0;90.0;0.0;0.0
10104;VIZILLE, CAMPING;45.08592987060547;5.771269798278809;17.0;17.0;17.0;17.0;17.0;10.0;0.0
10105;SAINT-GEORGES-DE-COMMIERS, LE CANAL;45.052120208740234;5.710400104522705;4.0;2.0;4.0;2.0;3.0;0.0;0.0
10106;SAINT-EGREVE, CAP 38;45.24018096923828;5.666190147399902;61.0;61.0;61.0;61.0;61.0;44.0;13.0
10107;SAINT-EGREVE, CAP DES H';45.21731948852539;5.681270122528076;90.0;90.0;90.0;90.0;90.0;59.0;27.0
10109;SAINT-MARTIN-D'HERES, LE CARINA;45.16238021850586;5.763050079345703;191.0;191.0;191.0;191.0;178.0;164.0;100.0
10111;LA TRONCHE, CARRONNERIE - ILE D'AMOUR;45.2011604309082;5.758800029754639;214.0;214.0;214.0;214.0;214.0;165.0;107.0
10114;GRENOBLE, CASAMAURES - VILLAGE;45.19902038574219;5.717470169067383;293.0;310.0;311.0;310.0;293.0;188.0;109.0
10115;GRENOBLE, CASERNE DE BONNE;45.18505859375;5.725329875946045;137.0;137.0;137.0;137.0;137.0;90.0;54.0
10117;SAINT-MARTIN-LE-VINOUX, COL DE CLEMENCIERES;45.23418045043945;5.725870132446289;25.0;25.0;23.0;25.0;25.0;17.0;0.0
10118;GRENOBLE, MARIE-LOUISE PARIS - CEA;45.2021598815918;5.704309940338135;318.0;318.0;318.0;318.0;318.0;200.0;114.0
10119;CORENC, LE CEDRE;45.207828521728516;5.755519866943359;156.0;156.0;156.0;156.0;156.0;114.0;56.0
10121;POISAT, CENTRE SOCIO-CULTUREL;45.15885925292969;5.759479999542236;191.0;191.0;191.0;191.0;178.0;164.0;100.0
10123;SEYSSINS, GRAND PRE - CENTRE SUD;45.170841217041016;5.694570064544678;175.0;175.0;175.0;175.0;175.0;161.0;101.0
10125;JARRIE, LES CHABERTS;45.10734176635742;5.749360084533691;31.0;31.0;31.0;31.0;31.0;10.0;0.0
10126;VIF, LE CHALET;45.043331146240234;5.664400100708008;101.0;101.0;101.0;101.0;101.0;72.0;30.0
10127;VARCES-ALLIERES-ET-RISSET, CHAMBORD;45.08518981933594;5.667140007019043;25.0;25.0;25.0;25.0;25.0;14.0;0.0
10128;SASSENAGE, CHAMECHAUDE;45.205101013183594;5.6834797859191895;201.0;201.0;201.0;201.0;201.0;187.0;101.0
10129;MONTCHABOUD, CHAMP CLOCHER;45.092220306396484;5.770199775695801;17.0;17.0;17.0;17.0;17.0;10.0;0.0
10130;EYBENS, CHAMP FILA;45.15626907348633;5.755050182342529;191.0;191.0;191.0;191.0;178.0;164.0;100.0
10132;MEYLAN, CHAMPLARS;45.22023010253906;5.779819965362549;41.0;41.0;41.0;41.0;41.0;24.0;24.0
10133;SAINT-MARTIN-D'HERES, CHAMP ROMAN;45.18437957763672;5.768239974975586;387.0;387.0;387.0;387.0;387.0;298.0;154.0
10135;CHAMP-SUR-DRAC, ZA LA PLAINE;45.06840896606445;5.723080158233643;8.0;8.0;8.0;8.0;8.0;5.0;0.0
10137;LE PONT-DE-CLAIX, EDMEE CHANDON;45.13671112060547;5.7083001136779785;419.0;419.0;419.0;419.0;419.0;274.0;157.0
10138;VIZILLE, CHANTEFEUILLE;45.08039855957031;5.775030136108398;40.0;40.0;40.0;40.0;40.0;23.0;0.0
10139;CLAIX, LA CHANTERAIE;45.1101188659668;5.665480136871338;25.0;25.0;25.0;25.0;25.0;16.0;0.0
10140;JARRIE, LES CHARBONNAUX;45.10097122192383;5.742149829864502;31.0;31.0;31.0;31.0;31.0;10.0;0.0
10141;FONTAINE, CHARLES MICHELS;45.193851470947266;5.680089950561523;432.0;432.0;432.0;432.0;432.0;284.0;154.0
10143;CLAIX, CHARRIERES;45.115989685058594;5.68887996673584;29.0;29.0;29.0;29.0;29.0;16.0;0.0
10144;VIZILLE, PLACE DU CHATEAU;45.075721740722656;5.772210121154785;116.0;116.0;116.0;116.0;116.0;55.0;26.0
10145;SASSENAGE, CHATEAU DE BEAUREVOIR;45.21234130859375;5.65201997756958;21.0;21.0;21.0;21.0;21.0;17.0;0.0
10148;VEUREY-VOROIZE, CHATELARD;45.273529052734375;5.6048102378845215;22.0;22.0;22.0;22.0;22.0;16.0;0.0
10150;SASSENAGE, CHATEAU DE SASSENAGE;45.21223831176758;5.661670207977295;181.0;181.0;181.0;181.0;181.0;105.0;36.0
10152;CLAIX, LES CHAUMES;45.1265983581543;5.674109935760498;12.0;12.0;12.0;12.0;12.0;12.0;0.0
10154;SEYSSINS, HAMEAU DES CHAUMIERES;45.154701232910156;5.689380168914795;83.0;83.0;83.0;83.0;83.0;58.0;28.0
10155;GRENOBLE, CHAVANT;45.184661865234375;5.731770038604736;1411.0;1319.0;1316.0;1411.0;1321.0;906.0;538.0
10156;CLAIX, CHEMIN DE L'ABBE;45.13520812988281;5.66841983795166;12.0;12.0;12.0;12.0;12.0;12.0;0.0
10158;SAINT-MARTIN-LE-VINOUX, CANET;45.210548400878906;5.706120014190674;11.0;11.0;10.0;11.0;11.0;8.0;0.0
10159;SAINT-MARTIN-D'URIAGE, LA CHENEVARIE;45.17333984375;5.857639789581299;17.0;17.0;16.0;17.0;17.0;0.0;0.0
10160;SASSENAGE, LES CHENES;45.21809005737305;5.653429985046387;21.0;21.0;21.0;21.0;21.0;17.0;0.0
10162;PROVEYSIEUX, LA CHIAISE;45.26116943359375;5.698309898376465;11.0;11.0;12.0;11.0;11.0;8.0;0.0
10163;CLAIX, LA CHIEZE;45.12118148803711;5.682509899139404;54.0;54.0;54.0;54.0;54.0;37.0;14.0
10164;BRIE-ET-ANGONNES, LE CHOLLET;45.14025115966797;5.783639907836914;17.0;17.0;17.0;17.0;17.0;15.0;0.0
10166;GRENOBLE, ESTACADE;45.18592834472656;5.717440128326416;211.0;211.0;211.0;211.0;211.0;161.0;99.0
10167;SAINT-ISMIER, CHATEAU RANDON;45.24222183227539;5.824510097503662;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10169;SASSENAGE, CHATEAU DE SASSENAGE;45.212791442871094;5.659249782562256;2.0;2.0;2.0;2.0;2.0;0.0;0.0
10171;LE SAPPEY-EN-CHARTREUSE, CHURUT;45.264739990234375;5.777430057525635;12.0;12.0;12.0;12.0;12.0;18.0;18.0
10173;VIF, LA CIME DU BOURG;45.048118591308594;5.667389869689941;101.0;101.0;101.0;101.0;101.0;72.0;30.0
10174;QUAIX-EN-CHARTREUSE, LA CIME DE MONT-QUAIX;45.25733184814453;5.746089935302734;4.0;4.0;6.0;4.0;4.0;9.0;0.0
10175;CLAIX, LES CIMENTIERS;45.130470275878906;5.68356990814209;12.0;12.0;12.0;12.0;12.0;12.0;0.0
10176;SEYSSINET-PARISET, CIMETIERE;45.16967010498047;5.683460235595703;12.0;12.0;12.0;12.0;12.0;2.0;4.0
10177;LA TRONCHE, CIMETIERE DU GRAND SABLON;45.19247055053711;5.745339870452881;133.0;133.0;133.0;133.0;133.0;90.0;56.0
10178;GRENOBLE, CITE INTERNATIONALE;45.1950798034668;5.71120023727417;318.0;318.0;318.0;318.0;318.0;200.0;114.0
10183;CLAIX, CLAIX MAIRIE;45.1202507019043;5.6724700927734375;108.0;108.0;108.0;108.0;108.0;74.0;28.0
10186;SEYSSINS, CLINIQUE - PORTAIL;45.162010192871094;5.674059867858887;0.0;0.0;0.0;0.0;0.0;2.0;4.0
10187;GRENOBLE, GROUPE HOSPITALIER MUTUALISTE;45.18125915527344;5.710279941558838;103.0;103.0;103.0;103.0;103.0;81.0;50.0
10188;LE PONT-DE-CLAIX, CLOS DOMINIQUE;45.135459899902344;5.70127010345459;245.0;245.0;245.0;245.0;245.0;182.0;109.0
10189;GRENOBLE, CLOS D'OR;45.169551849365234;5.723209857940674;69.0;69.0;69.0;69.0;69.0;45.0;27.0
10190;SAINT-MARTIN-LE-VINOUX, CLOS GERARD GRUEL;45.209678649902344;5.710519790649414;11.0;11.0;10.0;11.0;11.0;8.0;0.0
10191;JARRIE, CLOS JOUVIN;45.09693145751953;5.745850086212158;26.0;26.0;26.0;26.0;26.0;10.0;0.0
10192;SAINT-MARTIN-LE-VINOUX, CLOS SAINT-MARTIN;45.20502853393555;5.714019775390625;11.0;11.0;10.0;11.0;11.0;8.0;0.0
10193;BIVIERS, LES CLAVERINS;45.23305130004883;5.807079792022705;57.0;57.0;57.0;57.0;57.0;24.0;24.0
10194;BERNIN, CLOYERES;45.26449966430664;5.879280090332031;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10195;SAINT-ISMIER, COLLEGE GRESIVAUDAN;45.24028015136719;5.820779800415039;81.0;81.0;81.0;81.0;81.0;29.0;0.0
10196;LE GUA, COL DE L'ARZELIER;44.99089050292969;5.595409870147705;11.0;11.0;11.0;11.0;11.0;5.0;0.0
