id_ligne_num;route_short_name;route_long_name;1;2;3;4;5;6;7
1;C1;Grenoble Cité Jean Macé / Montbonnot-Saint-Martin Pré de l'Eau;1275.511;1275.511;1275.511;1275.511;1275.511;982.247;640.624
2;C2;Grenoble Louise Michel / Claix Pont Rouge;1095.395;1095.395;1095.395;1095.395;1095.395;813.722;487.339
3;C3;Échirolles Centre du graphisme / Grenoble Victor Hugo;125.406;125.406;125.406;125.406;125.406;93.624;57.528
4;C4;Grenoble Victor Hugo / Eybens Le Verderet;264.969;264.969;264.969;264.969;264.969;187.746;115.362
5;C5;Gières Université - Biologie / Grenoble Palais de Justice - Gare;642.039;642.039;642.039;642.039;642.039;543.51;310.637
6;C6;Eybens Maisons Neuves / Grenoble Oxford;883.005;883.005;883.005;883.005;883.005;811.803;503.076
7;C7;Échirolles Comboire / Saint-Martin-d'Hères Henri Wallon;642.523;642.523;642.523;642.523;597.93;546.744;334.7
8;C8;Grenoble Victor Hugo - Belgrade / Gières Université - IUT-STAPS;572.7;572.7;572.7;572.7;572.7;399.469;214.386
9;C10;Bernin Cloyères / Échirolles Marie Curie;891.57;891.57;891.57;891.57;891.57;318.088;0.0
10;C14;Grenoble Gares / St-Georges-de-Commiers Gare;1482.838;1482.838;1482.838;1482.838;1482.838;0.0;0.0
11;15;Domène Les Arnauds / Domène Chenevières / Grenoble Verdun - Préfecture;135.788;135.788;135.788;135.788;135.788;110.75;52.31
12;16;Le Pont-de-Claix Gendarmerie / Saint-Martin-d'Hères Les Alloves;266.932;266.932;266.932;266.932;266.932;174.6;104.76
13;17;Grenoble Verdun - Préfecture / Meylan Lycée du Grésivaudan;24.072;24.072;24.072;24.072;24.072;14.632;6.608
14;18;Meylan Lycée du Grésivaudan / Poisat Cimetière Intercommunal;424.265;424.265;420.89;424.265;426.515;284.366;176.848
15;19;Sassenage L'Ovalie / Seyssins Garlettes;429.862;429.862;429.862;429.862;429.862;270.44;173.774
16;20;Veurey-Voroize La Rive / Seyssinet-Pariset Hôtel de Ville;389.452;389.452;389.452;389.452;389.452;181.753;105.534
17;21;Seyssins Le Prisme / Claix Pont Rouge;350.082;350.082;350.082;350.082;350.082;244.818;118.188
18;22;Grenoble Oxford / Saint-Égrève Gare;503.37;503.37;503.37;503.37;503.37;329.076;150.1
19;23;Saint-Martin-d'Hères Université - Bibliothèques / Vizille Le Péage;1247.92;1247.92;1247.92;1247.92;1247.92;525.44;426.92
20;24;Gières Gare - Chamandier / Grenoble Verdun - Préfecture;0.0;0.0;0.0;0.0;0.0;0.0;0.0
21;25;Grenoble Colonel Dumont / Le Gua Les Saillants;1413.517;1413.517;1413.517;1413.517;1413.517;1221.444;508.935
22;41;La Tronche Grand Sablon / Corenc La Garenne;72.133;72.133;72.133;72.133;72.133;75.372;0.0
23;42;Meylan Place de la Louisiane / Montbonnot-Saint-Martin Pré de l'Eau;253.825;253.825;253.825;253.825;253.825;114.648;114.648
24;44;Miribel-Lanchâtre Le Vernay / Le Gua Prélenfrey Eglise / Col de l'Arzelier / Le Gua Les Saillants;14.428;14.428;14.428;14.428;14.428;7.974;0.0
25;45;Vif La Valonne / Varces-Allières-et-Risset Rond Point de l'Europe;123.553;123.553;131.145;123.553;123.553;95.604;0.0
26;46;Varces-Allières-et-Risset Rond Point de l'Europe / Saint-Paul-de-Varces Place;122.7;122.7;122.7;122.7;122.7;65.562;0.0
27;47;Varces-Allières-et-Risset Risset / Claix Val d'Allières;107.457;107.457;107.457;107.457;107.457;63.432;0.0
28;48;Claix Pont Rouge / Claix Cossey;58.26;58.26;58.26;58.26;58.26;58.26;0.0
29;49;Seyssinet-Pariset Cimetière / Seyssins Clinique du Dauphiné;86.871;86.871;86.871;86.871;86.871;41.331;43.525
30;50;Sassenage Les Côtes / Fontaine La Poya;54.812;54.812;54.812;54.812;54.812;42.126;0.0
31;51;Veurey-Voroize Châtelard / Saint-Égrève Gare;1.782;1.782;1.782;1.782;1.782;1.584;0.0
32;54;Saint-Égrève Pont de Vence / Grenoble Oxford;97.5;97.5;97.5;97.5;97.5;97.5;0.0
33;55;Saint-Martin-le-Vinoux Hôtel de Ville / Saint-Martin-le-Vinoux Col de Clémencières;15.076;15.076;12.812;15.076;15.076;5.008;0.0
34;56;Quaix-en-Chartreuse La Cime de Mont-Quaix / Grenoble Casamaures - Village;29.674;29.674;33.834;29.674;29.674;38.61;0.0
35;59;Gières Gare - Chamandier / Saint-Martin-d'Uriage La Ronzière / Hautes Vues;142.011;142.011;137.362;142.011;142.011;0.0;0.0
36;60;Proveysieux Planfay Haut / Saint-Égrève Muret;82.458;82.458;89.441;82.458;82.458;59.251;0.0
37;61;Quaix-en-Chartreuse Village / Saint-Égrève Muret;71.029;71.029;71.029;71.029;71.029;40.588;0.0
38;N62;Grenoble Notre-Dame - Musée / Sarcenas Pont du Croz / Col de Porte;104.646;104.646;104.646;104.646;104.646;173.745;173.745
39;63;Mont-Saint-Martin Chemin de Namière / Saint-Égrève Gare;9.704;12.13;9.704;9.704;9.704;9.704;0.0
40;64;Le Pont-de-Claix ZI des Îles / Le Pont-de-Claix L'Etoile;8.028;8.028;8.028;8.028;8.028;0.0;0.0
41;65;Grenoble Grand'place / Vizille Le Péage;275.616;275.616;275.616;275.616;275.616;162.864;0.0
42;66;Jarrie Clos Jouvin / Échirolles La Rampe - Centre-Ville;225.555;225.555;225.555;225.555;225.555;87.345;0.0
43;67;Grenoble Grand'place / Herbeys Le Bourg;161.395;161.395;161.395;161.395;161.395;93.234;0.0
44;68;Eybens Le Verderet / ÉCHIROLLES La Rampe - Centre-Ville;9.34;9.34;9.34;9.34;9.34;7.848;0.0
45;70;Champ-sur-Drac La Melle / Montchaboud Le Village;198.802;198.802;198.802;198.802;198.802;116.695;0.0
46;71;Jarrie Gare / Champagnier Place du Laca;33.445;33.445;33.445;33.445;33.445;0.0;0.0
47;73;Vif Mairie / Notre-Dame-de-Commiers Le Village;59.419;35.27;59.419;35.27;50.073;0.0;0.0
48;A;Fontaine La Poya / Le Pont-de-Claix L'Etoile;5502.796;5502.796;5502.796;5502.796;5502.796;3611.349;1995.823
49;B;Grenoble Oxford / Gières Plaine des Sports;3078.876;3078.876;3078.876;3078.876;3078.876;1936.4;1103.748
50;C;Seyssins Le Prisme / Saint-Martin-d'Hères Université - Condillac;3138.15;2294.066;2294.066;3138.15;2294.066;1680.556;1017.902
51;D;Grenoble Gares / Saint-Martin-d'Hères Etienne Grappe;1036.796;1036.796;1036.796;1036.796;1036.796;1005.138;801.576
52;E;Fontanil-Cornillon Palluel / Grenoble Louise Michel;3381.168;3381.168;3381.168;3381.168;3381.168;2054.34;1249.246
53;NAVA;Fontaine La Poya / Le Pont-de-Claix L'Etoile;149.89;149.89;0.0;0.0;0.0;0.0;0.0
54;NAVE;Fontanil-Cornillon Palluel / Grenoble Louise Michel;0.0;134.747;134.747;134.747;0.0;0.0;0.0
